Adventure_AreaObject,AdventureAreaObjectRequest,AdventureAreaObjectResponse
FractalVise_Clear,FractalViseClearRequest,FractalViseClearResponse
FractalVise_Retire,FractalViseRetireRequest,FractalViseRetireResponse
FractalVise_AcquireAreaItem,FractalViseAcquireAreaItemRequest,FractalViseAcquireAreaItemResponse
FractalVise_BattleStart,FractalViseBattleStartRequest,BattleStartResponse
FractalVise_BossDifficulty,FractalViseBossDifficultyRequest,FractalViseBossDifficultyResponse
FractalVise_BattleStartBossBattle,FractalViseBattleStartBossBattleRequest,BattleStartResponse
Gacha_List,None,GachaListResponse
Gacha_Execute,GachaExecuteRequest,GachaExecuteResponse
Gacha_Select,GachaSelectRequest,GachaSelectResponse
Gear_Lock,GearLockRequest,ChangedResourcesResponse
Gear_Unlock,GearUnlockRequest,ChangedResourcesResponse
Gear_Compress,GearCompressRequest,GearCompressResponse
HappyWorker_List,HappyWorkerListRequest,HappyWorkerListResponse
HappyWorker_Start,HappyWorkerStartRequest,HappyWorkerStartResponse
HappyWorker_Cancel,HappyWorkerCancelRequest,HappyWorkerCancelResponse
Item_Synthesize,ItemSynthesizeRequest,ChangedResourcesResponse
Item_Exchange,ItemExchangeRequest,ChangedResourcesResponse
Item_UseSupply,ItemUseSupplyRequest,ChangedResourcesResponse
Item_UseSupplyGearEffect,ItemUseSupplyGearEffectRequest,ChangedResourcesResponse
Item_Sell,ItemSellRequest,ChangedResourcesResponse
Item_OpenSelectBox,ItemOpenSelectBoxRequest,ChangedResourcesResponse
ItemRequest_List,None,ItemRequestListResponse
ItemRequest_Get,None,ItemRequestGetResponse
ItemRequest_Publish,ItemRequestPublishRequest,ItemRequestPublishResponse
ItemRequest_Cancel,None,None
ItemRequest_Fulfill,ItemRequestFulfillRequest,ItemRequestFulfillResponse
ItemRequest_Collect,None,ItemRequestCollectResponse
LoginBonus_List,None,ChangedResourcesResponse
LoginBonus_Receive,LoginBonusReceiveRequest,LoginBonusReceiveResponse
Mail_List,None,MailListResponse
Mail_Open,MailOpenRequest,MailOpenResponse
Mail_Delete,MailDeleteRequest,MailDeleteResponse
Mission_Receive,MissionReceiveRequest,MissionReceiveResponse
Mission_CountRewardReceive,MissionCountRewardReceiveRequest,MissionCountRewardReceiveResponse
News_List,NewsListRequest,NewsListResponse
News_UserList,None,NewsUserListResponse
Profile_UpdateName,ProfileUpdateNameRequest,ChangedResourcesResponse
Profile_UpdateBanner,ProfileUpdateBannerRequest,ChangedResourcesResponse
Profile_UpdateBadges,ProfileUpdateBadgesRequest,ChangedResourcesResponse
Profile_UpdateCharacterLikabilityScale,ProfileUpdateCharacterLikabilityScaleRequest,ChangedResourcesResponse
Purchase_SessionStart,PurchaseSessionStartRequest,PurchaseSessionStartResponse
Purchase_SessionPublish,PurchaseSessionPublishRequest,None
Purchase_Verify,PurchaseVerifyRequest,ChangedResourcesResponse
Purchase_History,None,PurchaseHistoryResponse
RecipeShop_Purchase,RecipeShopPurchaseRequest,ChangedResourcesResponse
RefundApplication_Get,None,RefundApplicationGetResponse
RefundApplication_UpdateEmailId,RefundApplicationUpdateEmailIdRequest,RefundApplicationUpdateEmailIdResponse
RefundApplication_SendVerificationCode,None,RefundApplicationSendVerificationCodeResponse
RefundApplication_VerifyEmailId,RefundApplicationVerifyEmailIdRequest,RefundApplicationVerifyEmailIdResponse
RefundApplication_RequestRefund,RefundApplicationRequestRefundRequest,RefundApplicationRequestRefundResponse
RuledBattle_Start,RuledBattleStartRequest,BattleStartResponse
SeasonPass_Receive,SeasonPassReceiveRequest,SeasonPassReceiveResponse
SeasonPass_ReceiveAll,SeasonPassReceiveAllRequest,SeasonPassReceiveAllResponse
SeasonPass_TierPurchase,SeasonPassTierPurchaseRequest,ChangedResourcesResponse
SeasonPass_PurchasePaidPass,SeasonPassPurchasePaidPassRequest,SeasonPassPurchasePaidPassResponse
Shop_GemList,None,ShopGemListResponse
Shop_Purchase,ShopPurchaseRequest,ChangedResourcesResponse
Shop_GearShopList,ShopGearShopListRequest,ShopGearShopListResponse
Shop_GearShopPurchase,ShopGearShopPurchaseRequest,ShopGearShopPurchaseResponse
Shop_CycleUpdateShopRelease,ShopCycleUpdateShopReleaseRequest,ChangedResourcesResponse
Shop_CycleUpdateShopPurchase,ShopCycleUpdateShopPurchaseRequest,ChangedResourcesResponse
Shop_RandomCostumeList,ShopRandomCostumeListRequest,ShopRandomCostumeListResponse
Shop_RandomCostumePurchase,ShopRandomCostumePurchaseRequest,ChangedResourcesResponse
Stamina_Purchase,StaminaPurchaseRequest,ChangedResourcesResponse
Stamina_UseItem,StaminaUseItemRequest,ChangedResourcesResponse
Subsystem_Status,None,SubsystemStatusResponse
TensionCard_Enhance,TensionCardEnhanceRequest,ChangedResourcesResponse
TensionCard_LevelLimitEnhance,TensionCardLevelLimitEnhanceRequest,ChangedResourcesResponse
TensionCard_LimitBreakEnhance,TensionCardLimitBreakEnhanceRequest,TensionCardLimitBreakEnhanceResponse
TensionCard_Lock,TensionCardLockRequest,ChangedResourcesResponse
TensionCard_Disassemble,TensionCardDisassembleRequest,TensionCardDisassembleResponse
Tip_Release,TipReleaseRequest,TipReleaseResponse
Tip_ReleaseByBattle,TipReleaseByBattleRequest,ChangedResourcesResponse
TrialBattle_Start,TrialBattleStartRequest,BattleStartResponse
TrialBattle_RewardReceive,TrialBattleRewardReceiveRequest,TrialBattleRewardReceiveResponse
Tutorial_Skip,None,TutorialSkipResponse
User_LogIn,None,UserLogInResponse
User_CrossDate,None,UserCrossDateResponse
User_LinksList,None,UserLinksListResponse
User_LinkApple,UserLinkAppleRequest,ChangedResourcesResponse
User_UnlinkApple,None,None
User_LinkGoogle,UserLinkGoogleRequest,ChangedResourcesResponse
User_UnlinkGoogle,None,None
User_UnlinkSteam,None,None
User_UpdateBirthdate,UserUpdateBirthdateRequest,ChangedResourcesResponse
User_UpdateLanguage,UserUpdateLanguageRequest,None
User_Delete,None,UserDeleteResponse
User_Notification,None,ChangedResourcesResponse
WebSession_Token,None,WebSessionTokenResponse
Xb_Formation,XbFormationRequest,XbFormationResponse
Xb_FormationUpdate,XbFormationUpdateRequest,XbFormationUpdateResponse
Xb_Start,XbStartRequest,XbStartResponse
Xb_Play,XbPlayRequest,XbPlayResponse
Xb_UpdateTension,XbUpdateTensionRequest,XbUpdateTensionResponse
Xb_AddCommandUnlockItem,XbAddCommandUnlockItemRequest,XbAddCommandUnlockItemResponse
Xb_UpdateSkillOrbStatus,XbUpdateSkillOrbStatusRequest,XbUpdateSkillOrbStatusResponse
Xb_Status,XbStatusRequest,XbStatusResponse
Xb_Retire,None,XbRetireResponse
Xb_ForceRetire,None,None
XbPvp_Formation,None,XbPvpFormationResponse
XbPvp_FormationUpdate,XbPvpFormationUpdateRequest,XbPvpFormationUpdateResponse
XbPvp_Entry,None,XbPvpEntryResponse
XbPvp_QuickMatching,None,XbPvpQuickMatchingResponse
XbPvp_RankMatching,None,XbPvpRankMatchingResponse
XbPvp_CasualMatching,XbPvpCasualMatchingRequest,XbPvpCasualMatchingResponse
XbPvp_RankMatchHistoryList,XbPvpRankMatchHistoryListRequest,XbPvpRankMatchHistoryListResponse
